tick,agentId,energy,belief,llr,neighborsCount,speed,distanceTraveled,resourcesGathered,isSleeper
10,25,85,0.419,0.325,7,1.61,16,0,1
10,26,87.3,0.293,0.882,4,1.33,14,0,0
10,27,81.8,0.096,2.248,5,1.59,13,0,0
10,28,75,0.099,2.212,5,1.52,15,0,0
10,29,64.3,0.389,0.452,3,0.52,5,0,0
10,30,73.2,0.5,-0.001,7,0.62,6,0,1
10,31,80.5,0.43,0.283,6,1.39,13,0,1
10,32,93,0.366,0.551,5,1.7,17,0,0
10,33,78.4,0.103,2.167,3,1.39,15,15,0
10,34,98.7,0.102,2.174,3,0.98,10,16,0
10,35,69.7,0.484,0.066,6,2.15,20,0,0
10,36,71.8,0.332,0.698,2,1.53,19,0,0
10,37,90.6,0.231,1.201,2,2.28,23,0,0
10,38,83.5,0.39,0.448,5,1.83,17,0,0
10,39,88.6,0.261,1.04,4,1.01,11,0,0
10,40,76.3,0.163,1.639,2,0.65,7,0,0
10,41,85.6,0.095,2.249,4,1.74,17,0,0
10,42,88.1,0.389,0.451,5,1.32,13,9,0
10,43,73.9,0.151,1.728,1,0.48,5,0,0
10,44,87.7,0.344,0.643,3,0.99,11,0,0
10,45,91.5,0.262,1.035,4,1.65,17,0,0
10,46,82.9,0.169,1.594,3,1.53,15,0,0
10,47,69.3,0.485,0.058,6,1.37,14,0,1
10,48,98.7,0.501,-0.003,7,0.73,8,0,1
10,49,87.3,0.455,0.18,7,1.65,16,0,0
10,50,63.1,0.501,-0.005,7,0.7,7,0,1
15,1,98.4,0.127,1.927,1,0.64,10,0,0
15,2,85.8,0.454,0.184,7,1.56,21,0,0
15,3,71.7,0.252,1.088,0,0.42,6,0,0
15,4,74.3,0.16,1.656,2,0.79,13,0,0
15,5,82.3,0.099,2.204,4,2.12,28,0,0
15,6,91.7,0.177,1.537,1,1.26,19,0,0
15,7,77,0.461,0.157,6,1.32,20,0,0
15,8,76.5,0.273,0.982,8,1.47,20,0,1
15,9,71.8,0.137,1.836,2,1.54,24,0,0
15,10,80.5,0.242,1.144,4,2.09,30,0,0
15,11,73.4,0.094,2.261,5,1.57,24,14,0
15,12,93,0.384,0.471,1,1.59,24,0,0
15,13,71.2,0.384,0.474,2,0.62,11,0,0
15,14,69.3,0.287,0.908,4,1.11,18,0,0
15,15,92.2,0.262,1.036,4,1.24,17,0,0
15,16,72.1,0.268,1.004,1,1.98,32,0,0
15,17,93.7,0.286,0.915,4,1.47,21,0,0
15,18,67.1,0.284,0.923,4,2.04,31,0,0
15,19,100,0.104,2.156,3,0.83,12,21,0
15,20,85.8,0.096,2.241,3,1.15,17,24,0
15,21,88.1,0.126,1.941,2,0.92,14,0,0
15,22,69.1,0.2,1.387,2,1.51,23,0,0
15,23,77.3,0.421,0.317,5,1.66,24,3,0
15,24,100,0.1,2.201,3,1.07,15,19,0
15,25,84.1,0.414,0.349,7,2.18,25,0,1
15,26,86.6,0.286,0.916,4,1.28,20,0,0
15,27,81.1,0.094,2.27,5,1.37,20,0,0
15,28,74.2,0.095,2.255,5,1.53,23,0,0
15,29,63.7,0.405,0.387,3,0.56,8,0,0
15,30,72.7,0.469,0.123,7,0.63,9,0,1
15,31,79.7,0.421,0.32,6,1.43,20,0,1
15,32,92.2,0.376,0.507,5,1.73,25,0,0
15,33,86.6,0.103,2.163,3,1.28,21,24,0
15,34,99.7,0.099,2.21,3,1.03,15,22,0
15,35,72.6,0.465,0.141,7,2.2,31,4,0
15,36,71,0.379,0.494,2,1.5,27,0,0
15,37,89.7,0.316,0.77,3,2.16,35,0,0
15,38,82.7,0.404,0.39,5,1.88,27,0,0
15,39,87.9,0.26,1.046,4,0.9,16,0,0
15,40,75.8,0.155,1.695,2,0.6,10,0,0
15,41,84.8,0.093,2.283,4,1.55,26,0,0
15,42,94.9,0.388,0.454,6,1.24,20,16,0
15,43,73.4,0.14,1.818,1,0.41,8,0,0
15,44,86.9,0.423,0.311,4,1.1,19,0,0
15,45,90.7,0.249,1.104,5,1.59,25,0,0
15,46,82.1,0.158,1.677,2,1.54,23,0,0
15,47,68.6,0.46,0.162,7,1.37,21,0,1
15,48,98.1,0.47,0.121,6,0.7,11,0,1
15,49,86.5,0.451,0.197,6,1.73,24,0,0
15,50,62.6,0.467,0.133,7,0.71,10,0,1
20,1,97.9,0.117,2.023,2,0.62,13,0,0
20,2,85,0.452,0.192,6,1.55,29,0,0
20,3,71.2,0.247,1.114,0,0.42,8,0,0
20,4,73.7,0.152,1.722,2,0.73,16,0,0
20,5,81.3,0.096,2.243,4,2.14,39,0,0
20,6,91,0.225,1.237,2,1.26,25,0,0
20,7,76.2,0.452,0.192,6,1.33,27,0,0
20,8,75.8,0.27,0.995,6,0.69,26,0,1
20,9,74.3,0.133,1.871,2,1.47,32,3,0
20,10,79.6,0.233,1.19,4,2.15,41,0,0
20,11,82.1,0.092,2.285,5,1.51,32,24,0
20,12,92.3,0.435,0.263,2,1.54,32,0,0
20,13,70.6,0.403,0.393,2,0.59,14,0,0
20,14,68.7,0.283,0.928,4,1.14,23,0,0
20,15,91.5,0.257,1.06,3,1.26,23,0,0
20,16,71.2,0.281,0.941,0,1.89,41,0,0
20,17,92.9,0.283,0.931,3,1.47,29,0,0
20,18,66.2,0.283,0.932,2,2.04,41,0,0
20,19,100,0.1,2.196,3,0.84,16,27,0
20,20,93.9,0.092,2.284,2,1.17,23,32,0
20,21,87.5,0.133,1.874,2,0.94,18,0,0
20,22,68.3,0.229,1.216,3,1.51,30,0,0
20,23,76.6,0.421,0.318,4,0.87,30,3,0
20,24,100,0.101,2.183,3,1.1,21,26,0
20,25,83.3,0.41,0.364,7,1.81,34,0,1
20,26,85.9,0.283,0.928,4,1.23,26,0,0
20,27,80.4,0.096,2.245,4,1.29,27,0,0
20,28,73.5,0.095,2.249,5,1.54,30,0,0
20,29,63.2,0.403,0.393,2,0.6,10,0,0
20,30,72.2,0.453,0.187,8,0.64,12,0,1
20,31,79,0.417,0.336,6,1.43,28,0,1
20,32,91.4,0.393,0.437,4,1.76,34,0,0
20,33,93.3,0.103,2.162,3,1.12,27,32,0
20,34,99.1,0.104,2.151,3,1.06,19,22,0
20,35,81.5,0.449,0.206,7,2.24,42,14,0
20,36,70.2,0.402,0.397,2,1.87,35,0,0
20,37,88.8,0.379,0.492,2,2.05,45,0,0
20,38,81.9,0.405,0.386,4,1.92,36,0,0
20,39,87.3,0.26,1.048,4,0.82,20,0,0
20,40,75.2,0.155,1.692,2,0.55,13,0,0
20,41,84.1,0.098,2.216,4,1.5,33,0,0
20,42,100,0.393,0.435,6,1.12,26,24,0
20,43,72.9,0.132,1.88,1,0.35,10,0,0
20,44,86.1,0.45,0.201,5,1.85,29,0,0
20,45,90,0.247,1.115,5,1.54,33,0,0
20,46,81.4,0.16,1.656,2,1.54,31,0,0
20,47,67.9,0.451,0.196,7,1.36,27,0,1
20,48,97.6,0.457,0.174,6,0.68,15,0,1
20,49,85.7,0.449,0.206,7,1.82,33,0,0
20,50,62,0.456,0.175,8,0.71,14,0,1
25,1,97.4,0.116,2.035,2,0.61,18,0,0
25,2,84.2,0.451,0.197,6,1.54,37,0,0
25,3,70.7,0.242,1.141,0,0.43,11,0,0
25,4,73.1,0.153,1.71,2,0.68,20,0,0
25,5,80.3,0.152,1.721,5,2.17,50,0,0
25,6,90.3,0.237,1.169,2,1.26,31,0,0
25,7,75.5,0.44,0.24,6,1.35,33,0,0
25,8,75.3,0.267,1.012,6,0.72,30,0,1
25,9,81.6,0.131,1.892,2,1.38,39,11,0
25,10,78.6,0.243,1.136,3,2.19,51,0,0
25,11,95,0.102,2.171,5,1.48,39,37,0
25,12,91.5,0.363,0.562,3,1.5,40,0,0
25,13,70,0.412,0.356,2,0.57,17,0,0
25,14,68.1,0.27,0.996,4,1.17,29,0,0
25,15,90.9,0.26,1.047,3,1.27,30,0,0
25,16,70.4,0.161,1.647,1,1.81,50,0,0
25,17,92.2,0.273,0.982,3,1.48,36,0,0
25,18,65.4,0.28,0.946,2,2.04,51,0,0
25,19,99.4,0.103,2.166,3,0.81,20,27,0
25,20,100,0.126,1.936,3,0.99,28,41,0
25,21,86.9,0.125,1.946,2,0.96,23,0,0
25,22,67.6,0.238,1.164,3,1.51,38,0,0
25,23,76,0.425,0.3,4,0.66,34,3,0
25,24,99.9,0.104,2.154,3,1.12,26,31,0
25,25,82.5,0.416,0.341,6,1.74,43,0,1
25,26,85.2,0.273,0.978,4,1.19,32,0,0
25,27,79.7,0.105,2.144,4,1.21,33,0,0
25,28,72.7,0.104,2.153,5,1.52,38,0,0
25,29,62.6,0.404,0.387,2,0.65,14,0,0
25,30,71.7,0.444,0.225,8,0.65,15,0,1
25,31,78.2,0.41,0.364,6,1.43,35,0,1
25,32,90.6,0.408,0.373,4,1.78,43,0,0
25,33,92.4,0.103,2.161,3,1.77,36,32,0
25,34,98.5,0.103,2.164,3,0.85,23,22,0
25,35,84.5,0.439,0.246,6,2.22,54,18,0
25,36,69.3,0.418,0.332,2,1.96,45,0,0
25,37,88,0.397,0.419,2,1.9,55,0,0
25,38,81.1,0.402,0.399,4,1.68,44,0,0
25,39,86.7,0.258,1.055,3,1.65,25,0,0
25,40,74.7,0.155,1.694,2,0.5,15,0,0
25,41,83.4,0.109,2.096,5,1.44,40,0,0
25,42,100,0.402,0.397,6,0.99,31,32,0
25,43,72.4,0.132,1.881,1,0.63,12,0,0
25,44,85.3,0.445,0.222,6,1.88,38,0,0
25,45,89.2,0.253,1.08,5,1.49,40,0,0
25,46,80.6,0.155,1.692,2,1.53,38,0,0
25,47,67.2,0.444,0.225,7,1.34,34,0,1
25,48,97.1,0.447,0.214,6,0.67,18,0,1
25,49,84.8,0.439,0.244,7,1.91,42,0,0
25,50,61.4,0.452,0.192,8,0.71,17,0,1
30,1,96.8,0.166,1.617,3,1.06,23,0,0
30,2,83.5,0.441,0.235,6,1.49,44,0,0
30,3,70.2,0.237,1.169,0,0.43,13,0,0
30,4,72.5,0.154,1.702,2,0.63,23,0,0
30,5,79.3,0.161,1.649,5,2.33,61,0,0
30,6,89.6,0.245,1.126,2,1.26,38,0,0
30,7,74.8,0.436,0.258,5,1.37,40,0,0
30,8,74.7,0.262,1.033,6,0.77,34,0,1
30,9,89,0.131,1.895,2,1.3,45,19,0
30,10,77.6,0.242,1.141,3,2.16,62,0,0
30,11,100,0.127,1.931,4,1.61,47,53,0
30,12,90.7,0.346,0.639,3,1.47,47,0,0
30,13,69.4,0.414,0.349,2,0.55,20,0,0
30,14,67.4,0.268,1.005,5,1.22,35,0,0
30,15,90.2,0.253,1.082,4,1.3,36,0,0
30,16,69.6,0.129,1.907,1,1.69,59,0,0
30,17,91.4,0.241,1.146,4,1.49,44,0,0
30,18,64.6,0.274,0.975,2,2.03,61,0,0
30,19,98.8,0.109,2.104,3,0.82,25,27,0
30,20,99.6,0.126,1.938,3,1.02,34,44,0
30,21,86.3,0.136,1.845,3,1,28,0,0
30,22,66.8,0.242,1.141,4,1.51,45,0,0
30,23,75.5,0.426,0.299,4,0.53,37,3,0
30,24,99.2,0.102,2.172,3,1.14,32,31,0
30,25,81.7,0.418,0.33,6,2.11,52,0,1
30,26,84.6,0.27,0.993,4,1.17,38,0,0
30,27,79,0.126,1.933,4,1.14,39,0,0
30,28,72.1,0.122,1.975,5,0.96,44,0,0
30,29,62,0.406,0.379,2,0.69,17,0,0
30,30,71.2,0.433,0.271,8,0.64,19,0,1
30,31,77.5,0.42,0.322,6,1.43,43,0,1
30,32,89.8,0.407,0.376,4,1.84,52,0,0
30,33,91.6,0.102,2.18,3,1.82,45,32,0
30,34,97.9,0.1,2.201,3,0.91,27,22,0
30,35,83.6,0.431,0.279,6,1.98,64,18,0
30,36,68.5,0.422,0.314,2,1.59,53,0,0
30,37,87.2,0.411,0.359,2,1.74,64,0,0
30,38,80.3,0.412,0.354,4,1.71,53,0,0
30,39,85.8,0.259,1.05,4,1.61,33,0,0
30,40,74.1,0.156,1.688,2,0.51,18,0,0
30,41,82.7,0.129,1.906,3,1.39,47,0,0
30,42,100,0.406,0.382,6,0.91,36,39,0
30,43,71.8,0.128,1.922,1,0.66,15,0,0
30,44,84.5,0.428,0.29,6,1.92,48,0,0
30,45,88.5,0.25,1.101,5,1.44,48,0,0
30,46,79.9,0.153,1.711,2,1.52,46,0,0
30,47,66.6,0.437,0.252,7,1.3,41,0,1
30,48,96.6,0.44,0.24,5,0.99,22,0,1
30,49,83.9,0.43,0.282,7,1.98,52,0,0
30,50,60.8,0.443,0.229,8,0.69,21,0,1
35,1,96.2,0.19,1.447,2,1.06,28,0,0
35,2,82.7,0.438,0.249,6,1.49,52,0,0
35,3,69.7,0.232,1.197,0,0.44,15,0,0
35,4,72,0.154,1.706,2,0.59,26,0,0
35,5,78.3,0.192,1.435,3,2.36,73,0,0
35,6,88.9,0.251,1.091,2,1.3,44,0,0
35,7,74,0.425,0.302,5,1.36,47,0,0
35,8,74.1,0.252,1.087,5,0.82,38,0,1
35,9,96.3,0.136,1.845,2,1.29,52,27,0
35,10,76.7,0.243,1.137,3,2.11,73,0,0
35,11,100,0.134,1.868,3,1.53,55,68,0
35,12,90,0.34,0.662,3,1.43,54,0,0
35,13,68.8,0.426,0.298,2,0.53,22,0,0
35,14,66.8,0.255,1.075,5,1.28,41,0,0
35,15,89.5,0.256,1.065,4,1.33,43,0,0
35,16,68.8,0.128,1.918,1,1.56,67,0,0
35,17,90.7,0.236,1.172,3,1.5,51,0,0
35,18,63.7,0.269,1,2,2.03,71,0,0
35,19,98.3,0.102,2.173,3,0.83,29,27,0
35,20,99,0.136,1.845,3,1.01,39,44,0
35,21,85.7,0.153,1.713,2,1.05,33,0,0
35,22,66.1,0.249,1.106,4,1.51,53,0,0
35,23,74.8,0.422,0.315,4,1.5,44,3,0
35,24,98.6,0.101,2.19,3,1.15,38,31,0
35,25,80.8,0.42,0.322,5,2.09,63,0,1
35,26,83.9,0.265,1.019,2,1.14,44,0,0
35,27,78.3,0.144,1.785,4,1.47,45,0,0
35,28,71.5,0.139,1.824,4,0.96,49,0,0
35,29,61.5,0.412,0.355,2,0.73,21,0,0
35,30,70.7,0.428,0.29,7,0.63,22,0,1
35,31,76.7,0.415,0.343,5,1.47,50,0,1
35,32,89,0.403,0.393,3,1.88,61,0,0
35,33,90.7,0.106,2.137,3,1.86,54,32,0
35,34,97.3,0.098,2.221,3,0.93,32,22,0
35,35,82.6,0.425,0.301,5,2.07,75,18,0
35,36,67.7,0.416,0.338,2,1.63,61,0,0
35,37,86.4,0.404,0.388,2,1.58,72,0,0
35,38,79.5,0.41,0.362,3,1.73,62,0,0
35,39,85,0.258,1.055,4,1.59,41,0,0
35,40,73.6,0.153,1.712,2,0.49,20,0,0
35,41,82,0.146,1.767,3,1.33,54,0,0
35,42,100,0.407,0.376,6,0.87,40,47,0
35,43,71.2,0.133,1.871,1,0.69,19,0,0
35,44,83.7,0.422,0.313,5,1.98,57,0,0
35,45,87.7,0.25,1.098,5,1.4,55,0,0
35,46,79.1,0.16,1.659,2,1.5,53,0,0
35,47,65.9,0.432,0.274,7,1.25,47,0,1
35,48,96,0.439,0.246,5,0.99,27,0,1
35,49,83.1,0.421,0.319,7,1.41,59,0,0
35,50,60.3,0.431,0.277,8,0.67,24,0,1
40,1,95.6,0.203,1.369,2,0.58,32,0,0
40,2,82,0.427,0.293,6,1.56,59,0,0
40,3,69.2,0.227,1.225,0,0.44,17,0,0
40,4,71.4,0.172,1.572,3,0.54,29,0,0
40,5,77.3,0.208,1.339,3,2.38,85,0,0
40,6,88.2,0.248,1.108,2,1.46,51,0,0
40,7,73.3,0.421,0.318,6,1.35,54,0,0
40,8,73.5,0.252,1.087,5,0.88,42,0,1
40,9,100,0.147,1.761,2,1.19,58,36,0
40,10,75.8,0.247,1.116,3,2.05,83,0,0
40,11,100,0.135,1.856,4,1.51,63,82,0
40,12,89.3,0.341,0.657,3,1.17,60,0,0
40,13,68.2,0.418,0.333,2,0.52,26,0,0
40,14,66.1,0.252,1.088,5,1.35,48,0,0
40,15,88.8,0.248,1.108,4,1.34,49,0,0
40,16,68,0.128,1.917,2,1.45,75,0,0
40,17,89.9,0.235,1.179,3,1.5,58,0,0
40,18,62.9,0.257,1.062,2,2.03,81,0,0
40,19,97.7,0.104,2.158,3,0.86,33,27,0
40,20,98.4,0.136,1.848,2,1,44,44,0
40,21,85,0.167,1.609,2,1.11,38,0,0
40,22,65.4,0.244,1.13,4,1.51,60,0,0
40,23,74,0.423,0.31,4,1.48,51,3,0
40,24,97.9,0.102,2.178,3,1.15,44,31,0
40,25,79.9,0.42,0.323,3,2.06,73,0,1
40,26,83.3,0.257,1.062,2,1.1,50,0,0
40,27,77.5,0.157,1.681,4,1.4,53,0,0
40,28,70.9,0.143,1.787,3,1,54,0,0
40,29,60.9,0.408,0.371,2,0.76,24,0,0
40,30,70.2,0.428,0.29,8,0.61,25,0,1
40,31,76,0.418,0.329,5,1.48,57,0,1
40,32,88.2,0.407,0.377,2,1.9,71,0,0
40,33,89.8,0.101,2.186,3,1.91,64,32,0
40,34,96.6,0.106,2.137,3,0.96,37,22,0
40,35,81.7,0.42,0.322,5,2.14,85,18,0
40,36,66.9,0.421,0.318,2,1.67,69,0,0
40,37,85.7,0.404,0.391,2,1.51,80,0,0
40,38,78.7,0.411,0.361,2,1.74,70,0,0
40,39,84.2,0.252,1.09,4,1.56,49,0,0
40,40,73.1,0.16,1.66,2,0.47,23,0,0
40,41,81.3,0.162,1.645,3,1.65,63,0,0
40,42,100,0.41,0.364,5,0.86,44,55,0
40,43,70.6,0.139,1.825,1,0.7,22,0,0
40,44,82.8,0.414,0.348,4,2.07,68,0,0
40,45,87,0.246,1.118,6,1.36,62,0,0
40,46,78.4,0.152,1.717,2,1.51,61,0,0
40,47,65.3,0.423,0.311,6,1.21,53,0,1
40,48,95.5,0.434,0.265,4,0.67,31,0,1
40,49,82.3,0.408,0.371,7,1.45,66,0,0
40,50,59.7,0.426,0.296,7,0.65,27,0,1
45,1,95.1,0.206,1.352,2,0.58,37,0,0
45,2,81.2,0.421,0.318,6,1.57,67,0,0
45,3,68.7,0.161,1.65,1,0.45,19,0,0
45,4,70.9,0.187,1.471,3,0.49,31,0,0
45,5,76.3,0.223,1.249,3,2.39,97,0,0
45,6,87.4,0.246,1.117,2,1.44,59,0,0
45,7,72.5,0.419,0.328,6,1.32,60,0,0
45,8,72.8,0.245,1.128,4,0.95,47,0,1
45,9,100,0.154,1.704,2,1.16,64,44,0
45,10,74.8,0.248,1.111,2,1.99,93,0,0
45,11,99.9,0.148,1.751,4,1.5,70,90,0
45,12,88.7,0.347,0.633,3,1.18,66,0,0
45,13,67.5,0.422,0.316,2,1.32,31,0,0
45,14,65.4,0.251,1.096,4,1.42,55,0,0
45,15,88.1,0.245,1.127,4,1.36,56,0,0
45,16,71.5,0.153,1.712,3,1.36,82,4,0
45,17,89.2,0.229,1.217,2,1.46,66,0,0
45,18,62.1,0.259,1.054,1,2.03,92,0,0
45,19,97.1,0.107,2.118,3,0.92,37,27,0
45,20,97.8,0.15,1.737,3,0.98,49,44,0
45,21,84.4,0.176,1.545,2,1.16,44,0,0
45,22,64.6,0.241,1.147,4,1.55,68,0,0
45,23,73.3,0.417,0.337,5,1.41,58,3,0
45,24,97.3,0.106,2.133,3,1.17,49,31,0
45,25,79.1,0.425,0.302,3,2.01,83,0,1
45,26,82.7,0.254,1.079,2,1.06,55,0,0
45,27,76.8,0.164,1.628,5,1.33,59,0,0
45,28,70.2,0.154,1.707,3,1.39,59,0,0
45,29,60.3,0.404,0.39,2,0.77,28,0,0
45,30,69.7,0.421,0.319,8,0.59,28,0,1
45,31,75.3,0.421,0.319,6,1.51,65,0,1
45,32,87.4,0.413,0.35,2,1.86,80,0,0
45,33,88.9,0.104,2.149,3,1.94,73,32,0
45,34,96,0.107,2.117,3,1,42,22,0
45,35,80.7,0.419,0.326,5,2.19,96,18,0
45,36,66.1,0.424,0.307,2,1.7,78,0,0
45,37,84.9,0.415,0.345,3,1.66,88,0,0
45,38,77.9,0.41,0.362,3,1.74,79,0,0
45,39,83.4,0.246,1.123,4,1.52,56,0,0
45,40,72.6,0.176,1.541,2,0.47,25,0,0
45,41,80.5,0.18,1.515,3,1.63,71,0,0
45,42,100,0.407,0.378,5,0.87,49,63,0
45,43,70.1,0.151,1.726,1,0.66,26,0,0
45,44,82,0.408,0.374,5,2.16,78,0,0
45,45,86.2,0.235,1.183,5,1.31,68,0,0
45,46,77.6,0.171,1.582,2,1.49,68,0,0
45,47,64.7,0.414,0.347,6,1.18,59,0,1
45,48,95,0.427,0.293,4,0.98,35,0,1
45,49,81.6,0.413,0.353,7,1.49,74,0,0
45,50,59.2,0.417,0.333,7,0.63,31,0,1
50,1,94.5,0.2,1.388,2,1.02,42,0,0
50,2,80.4,0.415,0.343,6,1.58,75,0,0
50,3,68.2,0.155,1.697,1,0.48,22,0,0
50,4,70.4,0.199,1.393,3,0.46,34,0,0
50,5,81.7,0.254,1.075,2,2.43,109,6,0
50,6,86.7,0.244,1.133,1,1.43,66,0,0
50,7,71.8,0.418,0.329,6,1.3,67,0,0
50,8,72.2,0.242,1.142,4,1.02,52,0,1
50,9,100,0.172,1.574,2,1.84,72,53,0
50,10,74,0.242,1.14,2,1.93,103,0,0
50,11,99.1,0.155,1.697,4,1.52,78,90,0
50,12,88,0.307,0.815,4,1.2,72,0,0
50,13,66.9,0.417,0.334,2,0.53,35,0,0
50,14,64.8,0.24,1.153,4,1.49,62,0,0
50,15,87.4,0.238,1.164,4,1.37,63,0,0
50,16,77.8,0.155,1.694,3,1.24,88,11,0
50,17,88.4,0.225,1.239,2,1.42,73,0,0
50,18,61.2,0.254,1.075,1,2.03,102,0,0
50,19,96.5,0.104,2.15,3,0.97,42,27,0
50,20,97.1,0.152,1.717,3,0.96,53,44,0
50,21,83.8,0.179,1.524,2,1.21,50,0,0
50,22,63.8,0.238,1.165,4,1.65,76,0,0
50,23,72.6,0.416,0.341,6,1.3,65,3,0
50,24,96.6,0.102,2.178,3,1.18,55,31,0
50,25,78.2,0.413,0.351,3,2.02,93,0,1
50,26,82,0.251,1.096,2,1.02,60,0,0
50,27,76.1,0.17,1.588,4,1.25,66,0,0
50,28,69.5,0.175,1.553,3,1.42,67,0,0
50,29,59.7,0.408,0.373,2,0.77,32,0,0
50,30,69.2,0.417,0.336,8,0.58,31,0,1
50,31,74.5,0.42,0.324,6,1.55,73,0,1
50,32,86.6,0.409,0.369,2,1.82,89,0,0
50,33,88,0.1,2.197,3,1.97,83,32,0
50,34,95.4,0.1,2.2,3,0.27,45,22,0
50,35,79.7,0.417,0.337,5,2.25,107,18,0
50,36,65.2,0.422,0.315,2,1.72,86,0,0
50,37,84.2,0.411,0.359,4,1.77,96,0,0
50,38,77.1,0.412,0.354,3,1.74,88,0,0
50,39,82.6,0.236,1.174,4,1.48,64,0,0
50,40,72.1,0.197,1.402,3,0.46,27,0,0
50,41,79.8,0.211,1.318,4,1.59,79,0,0
50,42,100,0.407,0.376,5,0.88,53,71,0
50,43,69.5,0.165,1.624,1,0.6,29,0,0
50,44,81.1,0.392,0.44,4,2.24,89,0,0
50,45,85.5,0.231,1.205,6,1.26,75,0,0
50,46,76.9,0.188,1.461,2,1.48,76,0,0
50,47,64,0.411,0.361,6,1.18,65,0,1
50,48,94.4,0.416,0.34,4,0.97,39,0,1
50,49,80.8,0.412,0.355,6,1.53,81,0,0
50,50,58.6,0.419,0.327,7,0.61,34,0,1
55,1,93.9,0.258,1.058,3,1.04,46,0,0
